,Camarhynchus_pallidus,Camarhynchus_parvulus,Camarhynchus_psittacula,Certhidea_fusca,Certhidea_olivacea,Chelonoidis_nigra,Conolophus_subcristatus,Crotophaga_ani,Dendroica_petechia,Geospiza_fortis,Geospiza_fuliginosa,Geospiza_magnirostris,Geospiza_scandens,Microlophus_bivattatus,Microlophus_pacificus,Microluphus_albemarlensis,Mimus_melanotis,Mimus_parvulus,Myiarchus_magnirostris,Platyspizia_crassirostris,Zenaida_galapagoensis
Seed_46,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Seed_49,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Seed_50,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Seed_53,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Seed_56,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Seed_57,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Seed_58,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Seed_60,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Seed_62,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Seed_66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Seed_67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Setaria_setosa,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sida_ciliaris,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
Sida_hederifolia,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sida_rhombifolia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Sida_spinosa,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Solanum_americanum,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Stylosanthes_sympodiales,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Talinum_paniculatum,0,3,1,0,0,2,0,0,1,1,4,1,0,0,0,0,0,0,0,0,0
Tephrosia_decumbens,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tournefortia_psilostachya,0,0,0,0,0,0,0,1,11,1,0,0,0,0,0,76,5,33,10,1,0
Tournefortia_pubescens,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,16,2,16,2,0,0
Tournefortia_rufo-sericea,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,1,0,0,0
Tradescantia_fluminensis,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Urochloa_multiculma,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Vallesia_glabra,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0
Zanthoxylum_fagara,0,0,0,0,0,0,0,1,0,0,0,0,0,27,0,6,6,2,20,0,0
